satellite,number,uplink,downlink,beacon,mode,callsign,status
ASTROLAND-1 (GENESIS-G),,145.875,436.888,436.888,1k2/2k4 AFSK FM APRS CW,AM2SAT,re-entered
ASTROLAND-2 (GENESIS-J),,145.925,436.666,436.666,1k2/2k4 AFSK FM APRS SSTV CW,AM3SAT,re-entered
Athenoxat-1,41168,,437.485,437.485,2k4*GMSK 4k8*AFSK CW,ATX1,active
Atlantis (US02),42737,,436.390,,9600bps GMSK,WD8DOX,re-entered
ATL-1 (MO-106),44830,,437.175,,12.5kbps GMSK,,re-entered
AubieSat-1 (AO-71),37854,,437.475,,1200bps AFSK CW,,inactive
AUTcube2,,,437.385,437.505,1k2AFSK 9k6FSK WSJT,JJ2YTA,unknown
AzaadiSAT,,,437.400,,1200bps FSK SSTV LoRa,,re-entered
AzTechSat-1,45261,,437.300,,9600bps GMSK/FSK,,re-entered
BAMA-1,,,437.460,,2k4 2GFSK 38k4 4GFSK,,failure
BCCSAT-1,48041,,435.635,435.635,4800bps GMSK CW,HS0W,active
BDSat,52175,,145.850/436.025*,436.025,9600*bps GFSK CW,OK0BDS,active
BeaverCube,,,,,,,unknown
BeEagleSat (TR01),42736,,437.370,,9600bps GMSK,ON01TR,re-entered
BEESAT-1,35933,,436.000,,4k8/9k6 GMSK,DP0BEE,inactive
BEESAT-2,39136,,435.950,435.950,4800bps GMSK CW,DP0BEF,inactive
BEESAT-3,39135,,435.950,435.950,4800bps GMSK CW,DP0BEG,inactive
BEESAT-4,41619,,435.950,435.950,4800bps GMSK CW,DP0BEH,inactive
BEESAT-5,48083,,435.950,,4800bps GMSK,DB0BEI,active
BEESAT-6,48083,,435.950,,4800bps GMSK,DB0BEJ,active
BEESAT-7,48084,,435.950,,4800bps GMSK,DB0BEK,active
BEESAT-8,48084,,435.950,,4800bps GMSK,DB0BEL,active
BEESAT-9,44412,,435.950,,4k8*/9k6 mobitex GMSK,DP0BEM,active
BEESAT-10~13,,,435.950,,1k2 mobitex GMSK,,unknown
BELIEFSAT-1,,435.825,145.825,,1200bps FM,,unknown
BELL (PhoneSat1),39142,,2401.200-2431.200,437.425,1200bps AFSK,KJ6KRW-1,re-entered
Bevo-2,41314,,437.325,,38k4 FSK CW,,inactive
BHUTAN-1 (BIRD-BT),43591,145.825,145.825,437.375,APRS digipeater CW,JG6YKL,re-entered
Binar-1,49272,435.810,435.810/437.292,,1k2/19k2GMSK,VK6BUS,inactive
Bion-M1,39130,,,,,,non-amateur
BIRD-B (Bangladesh BRAC),42823,,437.375,437.372,1k2AFSK 9k6GMSK CW,JG6YJS,re-entered
BIRD-G (Ghana GhanaSat-1),42821,,437.375,437.372,1k2AFSK 9k6GMSK CW,JG6YJP,inactive
BIRD-J (Japan Toki),42820,,437.375,437.372,1k2AFSK 9k6GMSK CW,JG6YJO,re-entered
BIRD-M (Mongolia Mazaalai),42822,,437.375,437.372,1k2AFSK 9k6GMSK CW,JG6YJQ,re-entered
BIRD-N (Nigeria EduSat-1),42824,,437.375,437.372,1k2AFSK 9k6GMSK CW,JG6YJR,re-entered
BIRD-BT (BHUTAN-1),43591,145.825,145.825,437.375,APRS digipeater CW,JG6YKL,re-entered
BIRD-MY (UiTMSat-1),43589,145.825,145.825,437.375,APRS digipeater CW,JG6YKN,re-entered
BIRD-PH (MAYA-1),43590,145.825,145.825,437.375,APRS digipeater CW,JG6YKM,re-entered
BIRD-JPN (Uguisu),44330,,437.375,437.375,4800bps GMSK CW,JG6YLE,re-entered
BIRD-LKA (Raavana-1),44329,,437.375,437.375,4800bps GMSK CW,JG6YLG,re-entered
BIRD-NPL (NepaliSat-1),44331,,437.375,437.375,4800bps GMSK CW,JG6YLF,re-entered
BIRDS-4 (Tsuru),47927,145.825,145.825,437.375,4k8*FSK APRS CW,JG6YMX,re-entered
BIRDS-4 (Maya-2),47929,145.825,145.825,37.375,4k8FSK APRS CW,JG6YMY,re-entered
BIRDS-4 (GuaraniSat-1),47931,145.825,145.825,437.375,1k2AFSK/4k8FSK APRS CW,JG6YMZ,re-entered
BIROS,41604,,437.525,,4800bps GMSK,,inactive
BisonSat,40968,,437.375,,9600bps GMSK,N7SKC,active
Black Knight-1,39398,,437.345,,,,inactive
BlueWalker-3,53807,,437.500/2210.000,,2k4*/9k6 FSK,,active
Bobcat-1,46922,,436.600,,9k6/38k4/57k6* GMSK,BOBCAT-1,active
BO-47 (IDEFIX),27422,,145.840,,400bps BPSK,,inactive
BO-48 (IDEFIX),27422,,435.270,,400bps BPSK,,inactive
BO-102 (CAS-7B BP-1B),44443,145.900,435.690,435.715,V/U FM CW,,re-entered
BRAC (BIRD-B),42823,,437.375,437.372,1k2AFSK 9k6GMSK CW,JG6YJS,re-entered
BRICSAT2 (USNAP1 NO-103),44355,28.120/145.825,145.825/435.350/437.605*,,1k2/9k6* FSK,USNAP1-1,re-entered
BRICSAT-P (NO-83),40655,28.120,435.350,437.975,9600bps FSK,BRCSAT,inactive
BRITE-AUSTRIA (CANX-3B),39091,,145.890/437.365,2234.400,32Kbps-256Kbps BPSK,,inactive
BRITE-PL,39431,,437.365/2234.400,145.890,32Kbps-256Kbps,,inactive
BRO-1,44495,,,,,,unknown
BRO-2,46940,,,,,,unknown
BRO-3,46944,,,,,,unknown
BRO-4,49066,,401.735,,9600bps FSK,,active
BRO-5,51061,,401.735,,4800bps FSK,,active
BRO-6,52422,,401.735,,9600bps FSK,,active
BRO-7,52174,,401.735,,9600bps FSK,,active
BSUSat-1(CubeBel-1),43666,436.200,436.200/436.990*,,4k8/9k6* GMSK Digipeater,EU10S,active
BugSat-1,40014,,437.445,,9600bps GMSK,LU7AA,active
BY70-1,41909,145.920,436.200,,9600bps BPSK FM tone 67.0Hz,,re-entered
BY70-2,45857,,436.200,,9600bps BPSK,,active
BY70-3,46839,,437.600,,9600bps BPSK,NPUBY3,active
CADRE,41475,,437.485/3404.000,,9600bps GMSK 1Mbit OQPSK,,re-entered
CAERUS,,,437.600,,1200bps AFSK,KJ6FIX-1,unknown
CANX-1,27847,,437.880,,1200bps AFSK,VA3SFL,inactive
CANX-2,32790,,437.478,,GMSK,VA3SFL,inactive
CANX-2,32790,,2200.000/2407.650,,32Kbps-256Kbps BPSK,VA3SFL,inactive
CANX-3A (UniBRITE),39092,,145.890,145.890,CW,,inactive
CANX-3B (BRITE-AUSTRIA),39091,,145.890/437.365,2234.400,32Kbps-256Kbps BPSK,,inactive
CANX-4,40055,,145.890/2234.400,437.365,32Kbps-256Kbps BPSK,,inactive
CANX-5,40056,,145.890/2234.400,437.365,32Kbps-256Kbps BPSK,,inactive
Canyval-X 1/2,,,435.000,435.000,9600bps MSK,,unknown
CANYVAL-C1,,,436.330,,4800bps GMSK,,unknown
CANYVAL-C2,,,437.500,,4800bps GMSK,,unknown
CAPE-1,31130,,435.245,435.248,1200bps AFSK,K5USL,active
CAPE-2 (LO-75),39382,145.825,145.822/437.325,145.825,1200bps AFSK CW Voice,W5UL-15,re-entered
CAPE-3,47309,,145.825/437.325*,,1k2*AFSK 9k6 FSK,W5UL-11,active
CapSat-1,,,,,,,unknown
CAS-1 (HO-68 XW-1),36122,145.925-145.975,435.765-435.715,,SSB inverting,BJ1SA-11 12,inactive
CAS-1 (HO-68 XW-1),36122,145.825,435.675,,FM tone 67Hz,,inactive
CAS-1 (HO-68 XW-1),36122,,,435.790,CW,BJ1SA,active
CAS-2A1/2A2,,,,,,,unknown
CAS-2T,41847,145.925,435.615,435.710,FM CW*,CAS2T,active
CAS-3A (XW-2A),40903,435.030-435.050,145.685-145.665,145.640/145.660,9k6/19k2 GMSK/CW*,BJ1SB,active
CAS-3B (XW-2B),40911,435.090-435.110,145.750-145.730,145.705/145.725,9k6/19k2 GMSK/CW*,BJ1SC,active
CAS-3C (XW-2C),40906,435.150-435.170,145.815-145.795,145.770/145.790,9k6/19k2 GMSK/CW*,BJ1SD,active
CAS-3D (XW-2D),40907,435.210-435.230,145.880-145.860,145.835/145.855,9k6/19k2 GMSK/CW*,BJ1SE,active
CAS-3E (XW-2E),40909,435.270-435.290,145.935-145.915,145.890/145.910,9k6 GMSK/CW*,BJ1SF,active
CAS-3F (XW-2F),40910,435.330-435.350,146.000-145.980,145.955/145.975,9k6 GMSK/CW*,BJ1SG,active
CAS-3G (DCBB KAITUO-1B),40912,,145.475*/437.950,,9k6* GMSK,BJ1SH,active
CAS-3H (LilacSat-2),40908,144.350/144.390,144.390/437.225*,437.200,1k2/4k8*/9k6 AFSK/GFSK,BJ1SI,active
CAS-3I (NUDT-PhoneSat),40900,,437.300,,9k6 GFSK,BJ1SJ,active
CAS-4A (ZHUHAI-1 01),42761,435.210-435.230,145.880-145.860,,SSB*,,active
CAS-4A (ZHUHAI-1 01),42761,,145.835,145.855,4800bps GMSK CW,BJ1SK,active
CAS-4B (ZHUHAI-1 02),42759,435.270-435.290,145.935-145.915,,SSB*,,active
CAS-4B (ZHUHAI-1 02),42759,,145.890,145.910,4800bps GMSK CW,BJ1SL,active
CAS-5A,,21.385-21.415,29.505-29.475,,HF/HF SSB,,to be launched
CAS-5A,,21.3925-21.4075,435.5325-435.5175,,HF/UHF SSB,,to be launched
CAS-5A,,,,29.465,HF_CW,,to be launched
CAS-5A,,145.805-145.835,435.555-435.525,,VHF/UHF SSB,,to be launched
CAS-5A,,145.925,435.600,,VHF/UHF FM,,to be launched
CAS-5A,,,,435.570,UHF_CW,,to be launched
CAS-5A,,,435.650,,4k8/9k6 GMSK,,to be launched
CAS-5B,,,,435.720,UHF_CW,,to be launched
CAS-6 (TIANQIN-1 TO-108),44881,435.270-435.290,145.935-145.915,,SSB,,active
CAS-6 (TIANQIN-1 TO-108),44881,,145.890,,4800bps GMSK,BJ1SO,active
CAS-6 (TIANQIN-1 TO-108),44881,,,145.910,CW,BJ1SO,active
CAS-7A,,21.245-21.275,29.465-29.435,,HF/HF SSB,,to be launched
CAS-7A,,,,29.425,HF CW,,to be launched
CAS-7A,,21.3125-21.3275,435.3725-435.3575,,HF/UHF SSB,,to be launched
CAS-7A,,,,435.430,UHF CW,,to be launched
CAS-7A,,145.865-145.895,435.415-435.385,,VHF/UHF SSB,,to be launched
CAS-7A,,,435.480,,4k8 9k6 GMSK telemetry,,to be launched
CAS-7A,,,10460.000,,1 Mbps GMSK image data,,to be launched
CAS-7B (BP-1B BO-102),44443,145.900,435.690,,VHF/UHF FM,,re-entered
CAS-7B (BP-1B BO-102),44443,,,435.715,UHF CW,,re-entered
CAS-8A,,145.805-145.835,435.540-435.510,,VHF/UHF SSB,,to be launched
CAS-8A,,,,435.575,UHF CW,,to be launched
CAS-8A,,,435.735,,4K8 9K6 GMSK telemetry,,to be launched
CAS-8A,,,2405.100,,4K8 9K6 GMSK telemetry,,to be launched
CAS-8A,,,2405.100,,192kbps GMSK image data,,to be launched
CAS-8A,,,2405.300,,Inter-satellite link,,to be launched
CAS-8B,,145.840-145.870,435.625-435.595,,VHF/UHF SSB,,to be launched
CAS-8B,,,,435.580,UHF CW,,to be launched
CAS-8B,,,435.750,,4K8 9K6 GMSK telemetry,,to be launched
CAS-8B,,,2405.100,,4K8 9K6 GMSK telemetry,,to be launched
CAS-8B,,,2405.100,,192kbps GMSK image data,,to be launched
CAS-8B,,,2405.300,,Inter-satellite link,,to be launched
CAS-8C,,145.875-145.905,435.660-435.630,,VHF/UHF SSB,,to be launched
CAS-8C,,,,435.585,UHF CW,,to be launched
CAS-8C,,,435.775,,4K8 9K6 GMSK telemetry,,to be launched
CAS-8C,,,2405.300,,Inter-satellite link,,to be launched
CAS-8D,,145.910-145.940,435.695-435.665,,VHF/UHF SSB,,to be launched
CAS-8D,,,,435.590,UHF CW,,to be launched
CAS-8D,,,435.800,,4K8 9K6 GMSK telemetry,,to be launched
CAS-8D,,,2405.300,,Inter-satellite link,,to be launched
CAS-9 (XW-3 HO-113),50466,145.870,435.180,,VHF/UHF SSB*,,active
CAS-9 (XW-3 HO-113),50466,,435.725,,4k8*GMSK telemetry,CAS9,active
CAS-9 (XW-3 HO-113),50466,,,435.575,UHF CW*,,active
CAS-10,,145.870,435.180,,VHF/UHF SSB,,to be launched
CAS-10,,,,435.575,DTMF_camera CW,,to be launched
CAS-10,,,435.725,,4K8 9K6 GMSK telemetry,,to be launched
CELESTA (ROBUSTA-1D),53111,,436.500,FX6FRB,1k2AFSK 2k4*/9k6GMSK,,active
Challenger (US01),42721,,437.510,,9600bps GMSK,QBUS01,re-entered
ChargerSat-1,39405,,437.405,,9600bps FSK,,inactive
Chasqui-1,40117,,437.025,,1k2AFSK/9k6GMSK,,inactive
CHOMPTT,43855,,437.560,,1k2*AFSK/9k6GMSK,WI2XVT,active
ChubuSat-1,40300,145.980,437.485,437.485,1200bps 9600bps CW,JJ2YJY,inactive
ChubuSat-2,41338,145.815,437.100,437.102,1k2 AFSK 9k6 GMSK CW,JJ2YPN,inactive
ChubuSat-3,41339,145.840,437.425,437.424,1k2 AFSK 9k6 GMSK CW,JJ2YPO,inactive
CLICK-A,,,,,,,unknown
Cliff (Fox-1C AO-95),43770,435.300/1267.300,145.920,145.920,FM CTCSS 67.0Hz/200bps DUV,,active
CNUSail-1,43133,,437.100,,9600bps GMSK,,unknown
Columbia (US04),42702,,437.055,,9600bps GMSK,KD8CJT,inactive
COMPASS-1,32787,,437.405,437.275,1200bps AFSK CW,DP0COM,inactive
COMPASS-2/DragSail (DE04),42777,,437.300/2403.000,,1200bps AFSK,,inactive
Connecta-T1.1,52739,,401.525,,9600bps GMSK,CONT11,active
COPPER,39395,,2403.000-2403.400,437.290,9600bps FSK,,inactive
CO-55 (CUTE-I),27844,,437.470,436.838,1200bps AFSK CW*,JQ1YCY,active
CO-56 (CUTE-1.7),28941,,437.505,437.382,1200bps AFSK,JQ1YPC,re-entered
CO-56 (CUTE-1.7),28941,1268.500,437.505,437.382,9600bps GMSK,,re-entered
CO-57 (XI-IV),27848,,437.490,436.848,1200bps AFSK CW*,JQ1YCW,active
CO-58 (XI-V),28895,,437.345,437.465,1200bps AFSK CW*,JQ1YGW,active
CO-65 (CUTE1.7+APDII),32785,,437.475,437.275,1200bps AFSK CW*,JQ1YTC,active
CO-65 (CUTE1.7+APDII),32785,1267.600,437.475,,9600bps GMSK,JQ1YTC,inactive
CO-66 (SEEDS-II),32791,,437.485,437.485,1k2AFSK CW* DigiTalker,JQ1YGU,active
CO-77 (ARTSAT1-INVADER),39577,,437.200,437.325,1k2AFSK DigiTalker CW,JQ1ZKK,re-entered
CP-1,,,436.845,,15bps DTMF,,failure
CP-2,,,437.325,,1200bps AFSK,,failure
CP-3,31129,,436.845,,1200bps AFSK,,inactive
CP-4,31132,,437.325,437.325,1200bps SSB CW,N6CP,inactive
CP-5,38763,,437.405,437.405,1200bps AFSK CW,CP5,inactive
CP-6,35003,,437.365,437.365,1200bps AFSK CW,N6CP,inactive
CP-7 (DAVE),43615,,437.150,437.150,9600bps FSK CW,WI2XNR-1,inactive
CP-8 (IPEX),39471,,437.270,437.270,9600bps GMSK CW,KJ6KSL-1,inactive
CP-9 (LEO),44360,,437.505,,9k6*/19k2/38k4 FSK,KJ6RQH-1,inactive
CP-10 (ExoCube-1),40380,,437.270,437.270,9600bps FSK CW,KK6HGC XO3,inactive
CP-11 (ISX),43856,,437.150,437.150,9600bps FSK CW,,inactive
CP-12 (ExoCube-2),47319,,437.150,437.150,9600bps FSK CW,KK6HIT,inactive
Cliff (Fox-1C AO-95),,435.300/1267.300,145.920,,FM CTCSS 67.0Hz/200bps DUV,,active
CryoCube-1,45260,2082.004,2261.000,,,,re-entered
CSIM-FD,43793,,437.250,,9k6*/19k2 GMSK,CSIM,active
CSS (TIANHE),48274,435.06839,145.98723,,FM,,unknown
CSS (TIANHE),48274,145.850,145.985,,NFM Crew Voice,,unknown
CSS (TIANHE),48274,435.050,436.510,,NFM Crew Voice,,unknown
CSS (TIANHE),48274,145.875,436.510,,NFM Repeater,,unknown
CSS (TIANHE),48274,435.075,145.985,,NFM Repeater,,unknown
CSS (TIANHE),48274,145.825,145.825,,1k2_AFSK Digipeater,,unknown
CSS (TIANHE),48274,437.550,437.550,,1k2_AFSK Digipeater,,unknown
CSS (TIANHE),48274,145.850,145.985,,SSTV Imaging,,unknown
CSS (TIANHE),48274,435.050,436.510,,SSTV Imaging,,unknown
CSSWE,38761,,437.349,,9600bps GMSK,CSSWE7,inactive
CSTB-1,31122,,400.038,,1200bps AFSK,,inactive
CSUNSat1,42715,,437.400,437.400,9600bps GMSK CW,CSUNSAT1,re-entered
CTIM-FD,52950,,437.250,,9600bps GFSK,,active
CUAVA-1,49275,145.875/2404.000,437.075/2440.000,,9600bps GMSK,,unknown
CUAVA-1,49275,5660.000/76.750GHz,5840.000/76.750GHz,,9600bps GMSK,,unknown
CubeBel-1(BSUSat-1),43666,436.200,436.200/436.990*,,4k8/9k6* GMSK Digipeater,EU10S,active
CubeBug-1,39153,,437.445,437.438,1200bps AFSK,CUBEB1,inactive
CubeBug-2 (LO-74),39440,,437.445,,1k2AFSK 9k6*FSK,CUBEB2-6,active
CubeSail-1/2,,,437.305/437.505,,9600bps GMSK,,unknown
CubeSX-HSE,47952,,435.650/10455.000,,9k6FSK/DVB-S2,RS13S,active
CubeSX-HSE-2 (SXC3-213 HSE-AIS),53383,,435.570,,2400bps GMSK USP,RS21S,active
CubeSX-Sirius-HSE,47951,,437.050/10465.000,,2k4/9k6*FSK/DVB-S2,RS14S,active
CUNYSAT-1,39470,,437.505,437.505,9600bps GMSK CW,,inactive
CUSat-1,39266,,437.405,,1200bps AFSK,BOTTOM,inactive
CUSat-2,39271,,437.485,,1200bps AFSK,WG2XTI,inactive
CUTE,49263,,437.250/2402.000,,9k6*/19k2GMSK 1MbpsBPSK,CUTE,active
CUTE-I (CO-55),27844,,437.470,436.838,1200bps AFSK CW*,JQ1YCY,active
CUTE-1.7 (CO-56),28941,,437.505,437.382,1200bps AFSK,JQ1YPC,re-entered
CUTE-1.7 (CO-56),28941,1268.500,437.505,437.382,9600bps GMSK,,re-entered
CUTE1.7+APDII (CO-65),32785,,437.475,437.275,1200bps AFSK CW*,JQ1YTC,active
CUTE1.7+APDII (CO-65),32785,1267.600,437.475,,9600bps GMSK,JQ1YTC,inactive
CXBN,38762,,437.525,,9600bps GFSK,,inactive
CXBN-2,42704,,437.075,,9600bps FSK,,re-entered
CySat-1,,,436.375,,9600bps,,unknown
D3,,,437.080/2432.000,,1k2AFSK 9k6GMSK,,unknown
DANDE,39267,,436.750,436.750,9600bps GMSK,DANDE-2,inactive
DAVE (CP-7),43615,,437.150,437.150,9600bps FSK CW,WI2XNR-1,inactive
DaVinci,,145.100,436.500,,9600bps GMSK,,unknown
DCBB (CAS-3G KAITUO-1B),40912,,145.475*/437.950,,9k6* GMSK,BJ1SH,active
DEKART,46493,,437.000,,4800bps mobitex,,active
DELFI-C3 (DO-64),32789,,145.870,,1200bps BPSK,DLFIC3,active
DELFI-C3 (DO-64),32789,435.530-435.570,145.920-145.880,145.930,SSB CW,DLFIC3,inactive
Delfi-n3Xt,39428,,145.870/145.930,2405.000,2400bps BPSK MSK,,inactive
Delfi-n3Xt,39428,435.530-435.570,145.880-145.920,,SSB,,inactive
Delfi-PQ,51074,,436.650,,1k2*/2k4/19k2 FSK,DLFIPQ,active
Delphini-1,44030,,437.500,,1k2/4k8/9k6* GMSK,,re-entered
DeorbitSail,40719,,145.975,,1200bps BPSK,DOS,inactive
DESCENT,46925,,435.775,,19k34 GMSK,,unknown
DESPATCH (FO-81),40321,,,437.325,CW,JQ1ZNN,deep space
DHABISAT (MYSAT-2),49017,,436.908,,1200bps BPSK,A68MX,active
DAILI,51443,,914.700,,FM,,non-amateur
Diwata-2 (PO-101),43678,437.500,145.900,145.900,FM* tone 141.3Hz CW,D1W2PH,active
